Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variation,R-589838-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-589838,3794
variation,R-589838-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-589838,4329
variation,R-589838-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-589838,4779
variable,R-593292,Oval Diamond Engagement Ring (Pave),Romantic rose gold setting hosting a brilliant oval diamond and pave band.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-593292-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-593292,1479
variation,R-593292-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-593292,1811
variation,R-593292-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-593292,2199
variation,R-593292-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-593292,2529
variation,R-593292-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-593292,2844
variation,R-593292-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-593292,3379
variation,R-593292-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-593292,3829
variation,R-593292-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-593292,1894
variation,R-593292-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-593292,2226
variation,R-593292-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-593292,2614
variation,R-593292-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-593292,2944
variation,R-593292-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-593292,3259
variation,R-593292-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-593292,3794
variation,R-593292-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-593292,4244
variation,R-593292-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-593292,2429
variation,R-593292-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-593292,2761
variation,R-593292-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-593292,3149
variation,R-593292-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-593292,3479
variation,R-593292-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-593292,3794
variation,R-593292-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-593292,4329
variation,R-593292-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-593292,4779
variable,R-613920,Princess Cut Solitaire Ring,Timeless solitaire ring featuring a square princess cut diamond in a sleek white gold setting.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-613920-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-613920,1399
variation,R-613920-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-613920,1731
variation,R-613920-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-613920,2119
variation,R-613920-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-613920,2449
variation,R-613920-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-613920,2764
variation,R-613920-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-613920,3299
variation,R-613920-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-613920,3749
variation,R-613920-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-613920,1814
variation,R-613920-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-613920,2146
variation,R-613920-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-613920,2534
variation,R-613920-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-613920,2864
variation,R-613920-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-613920,3179
variation,R-613920-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-613920,3714
variation,R-613920-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-613920,4164
variation,R-613920-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-613920,2349
variation,R-613920-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-613920,2681
variation,R-613920-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-613920,3069
variation,R-613920-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-613920,3399
variation,R-613920-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-613920,3714
variation,R-613920-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-613920,4249
variation,R-613920-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-613920,4699
variable,R-620713,Round Diamond Split Shank Halo Ring,Glamorous rose gold bridal ring featuring a round diamond halo and shimmering split shank pave band.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
